Run,Heating supplied (MWh),Cooling supplied (MWh),HP elec — heating (MWh),HP elec — cooling (MWh),Avg COP (heating),TRF warm (–),TRF cool (–),"VBR (ratio, ≈1)","EBR (ratio, ≈1)",CO₂ saved vs gas (t)
Base,7237.569,5867.1398,1436.8615,0.0,5.0371,0.6692,0.5641,1.011,1.6429,1376.4696
High Permeability,7091.827,5831.1256,1415.0783,0.0,5.0116,0.6264,0.5304,1.0048,1.6456,1347.858
Low Permeability,7281.7607,5875.0703,1443.3102,0.0,5.0452,0.6831,0.5744,1.0134,1.6429,1385.1648
High Capacity,7245.1133,5870.8089,1437.9429,0.0,5.0385,0.6721,0.5676,1.0121,1.6381,1377.9565
Low Capacity,7236.6378,5862.8475,1436.9032,0.0,5.0363,0.6672,0.5595,1.0095,1.6539,1376.2642
High Porosity,7251.9016,5870.6936,1438.787,0.0,5.0403,0.675,0.5698,1.0127,1.6375,1379.3105
Low Porosity,7236.6378,5862.8475,1436.9032,0.0,5.0363,0.6672,0.5595,1.0095,1.6539,1376.2642
Well Swap,7237.569,5867.1398,1436.8615,0.0,5.0371,0.6692,0.5641,1.011,1.6429,1376.4696
High Conductivity,7237.3558,5858.3697,1437.8137,0.0,5.0336,0.6632,0.5516,1.0077,1.6704,1376.3048
Low Conductivity,7261.2562,5890.0259,1438.4199,0.0,5.0481,0.6892,0.5957,1.0196,1.5886,1381.3676
Higher Bond Conductivity,7140.1944,5835.0105,1422.2838,0.0,5.0202,0.6372,0.5315,1.0013,1.6764,1357.3563
Lower Bond Conductivity,7282.4547,5873.402,1443.4382,0.0,5.0452,0.6833,0.574,1.0136,1.6443,1385.298
more fractures,7244.7801,5868.9699,1437.6621,0.0,5.0393,0.6717,0.5656,1.0102,1.6457,1377.9199
fewer fractures,7256.9381,5870.8236,1439.8472,0.0,5.0401,0.6759,0.5704,1.0139,1.6364,1380.2608
